UF;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RO;623;754;821;720;699;643;611;604;562;522;473;443;439;454;467;365;372;370;383;395
AC;420;388;461;355;475;355;345;329;342;374;342;365;329;334;299;274;289;300;308;308
AM;1563;1579;1692;1846;1871;1652;1594;1509;1322;1326;1363;1225;1234;1241;1156;1149;1234;1338;1251;1220
RR;231;147;175;209;166;161;111;160;179;171;203;166;168;178;127;124;195;206;221;189
PA;2179;2364;2649;2879;3084;3127;2892;3162;3102;2950;2932;2750;2686;2562;2471;2399;2267;2250;2181;2070
AP;361;384;330;365;319;340;341;296;307;287;325;308;360;341;306;318;329;324;319;291
TO;568;537;558;579;609;620;560;519;511;448;482;426;378;396;386;372;321;310;295;312
MA;1016;1171;1443;1487;1785;2050;2272;2319;2078;2336;2111;2041;1983;1925;1766;1856;1635;1816;1765;1733
PI;520;636;688;842;1431;1372;1381;1363;1208;1274;1217;1194;1118;1048;932;939;881;849;809;806
CE;4387;4349;4166;4114;3816;3189;3497;3540;3112;2593;2458;2164;2109;2038;1692;1772;1617;1737;1588;1611
RN;1346;1278;1261;1271;1199;1030;1115;906;933;854;699;753;726;679;632;636;654;671;615;679
PB;1912;1659;1557;1440;1870;1372;1481;1395;1288;1197;1074;1073;1008;867;835;816;805;812;760;667
PE;6060;5464;5477;5549;4860;4382;4046;4026;3437;3301;2789;2771;2554;2587;2207;2144;2186;2143;2087;2075
AL;1760;1832;2931;2030;2017;2103;1872;1654;1387;1407;1189;1171;1023;1004;881;829;784;830;776;761
SE;1200;1129;1381;1436;1255;1325;1122;1048;899;975;861;730;718;647;563;604;601;563;571;567
BA;5039;4540;5114;5451;6295;5686;5430;5421;5099;4930;4666;4245;3982;3906;3668;3398;3343;3274;3120;2936
MG;7928;7272;6763;6393;6153;5541;5046;4921;4597;4516;4289;3789;3774;3493;3292;3349;3267;3098;3008;3024
ES;1258;1145;1174;1068;1098;1009;883;867;811;823;800;714;750;632;619;623;610;598;642;651
RJ;6940;6470;5828;5727;5133;4420;4183;4113;3963;3579;3349;3208;3112;3127;3012;3064;3086;2939;2969;2976
SP;15867;15281;13879;12917;12016;10540;9614;9369;9044;8444;8148;7850;7677;7575;7255;7169;7239;7174;7289;6952
PR;4121;3712;3917;3698;3517;2971;2808;2659;2503;2352;2167;1999;2007;1904;1890;1831;1841;1748;1840;1793
SC;1708;1669;1600;1608;1478;1316;1274;1125;1118;1032;1048;1014;976;902;850;994;909;894;904;931
RS;3334;2877;3071;2791;2682;2540;2426;2386;2325;2019;1855;1709;1728;1561;1509;1601;1507;1506;1542;1525
MS;1190;1120;1045;1025;963;952;808;773;876;787;738;738;674;719;619;543;544;533;555;515
MT;921;923;1053;1013;1093;978;948;861;930;932;798;730;755;758;708;721;694;758;809;758
GO;1444;1576;1538;1490;1336;1277;1370;1332;1367;1248;1146;1080;1105;1035;967;1102;1158;1141;1078;1095
DF;1128;1144;1118;1042;979;992;886;883;883;867;810;714;727;729;761;724;755;784;747;661
