RENDA;GINI;CMI
385.66;0.44;25
370.42;0.47;20.51
330.07;0.52;29.7
498.82;0.54;21.59
206.84;0.53;27.9
143.75;0.48;42.98
204.01;0.52;32.89
166.97;0.55;47.63
286.5;0.44;28.02
301.64;0.48;28.2
490.21;0.57;22.4
317.56;0.52;35.75
307.67;0.52;29.33
260.29;0.46;45.63
186.14;0.47;34.34
267.8;0.55;33.65
294.27;0.62;38.58
155.56;0.56;58.09
160.07;0.53;34.67
163.3;0.45;60.34
161.22;0.6;50.54
258.99;0.49;36.7
68.14;0.5;67.09
440.76;0.53;16
177.7;0.58;59.08
251.09;0.52;26.3
268.77;0.6;25.65
500.67;0.53;22.7
181.29;0.55;27.39
279.08;0.55;40.24
696.1;0.55;16.8
299.33;0.53;32.5
439.57;0.38;17.7
228.71;0.56;27.3
171.39;0.5;61.33
280.17;0.59;42.39
188.57;0.53;48.17
359.81;0.54;25.23
87.25;0.52;58.54
140.58;0.53;52.58
147.25;0.49;35.37
222.12;0.51;60.72
115.07;0.49;41.21
411.89;0.46;26.7
511.95;0.47;20.7
266.02;0.54;42.16
242.11;0.55;38.02
695.97;0.59;27.9
138.86;0.56;41.94
145.3;0.54;55.93
201.45;0.5;39.85
513.9;0.5;22.06
517.02;0.46;17.3
96.12;0.56;63.41
252.68;0.49;28.72
581.61;0.58;22
113.81;0.53;50.89
332.03;0.6;28
610.66;0.49;17.8
426.11;0.48;25.8
420.84;0.45;20.68
123.58;0.53;53.71
139.69;0.52;55.24
442.3;0.56;13.2
131.78;0.58;85.29
680.16;0.54;17.1
522.53;0.54;23.6
730.13;0.53;13.8
612.97;0.51;14.8
1580.72;0.54;11.4
226.06;0.64;36.29
494.34;0.51;25.3
335.23;0.45;24.66
384.13;0.36;20.1
201.55;0.6;38.14
550.66;0.53;16.7
303.22;0.49;33.81
530.21;0.47;20.4
333.79;0.55;33.5
194.86;0.48;43.81
115.43;0.5;52.82
354.63;0.56;22.95
185.75;0.55;50.83
99.06;0.62;64.71
448.77;0.55;22.38
466.14;0.47;16.7
184.01;0.55;38.83
283;0.53;24.22
164.27;0.54;48.6
197.96;0.53;52.53
163.13;0.52;43.24
178.67;0.54;54.41
363.32;0.59;41.13
429.24;0.49;23.3
421.88;0.39;21.91
118.37;0.59;50.93
136.44;0.47;60.81
136.38;0.47;51.53
591.69;0.54;21.55
234.96;0.54;50.02
112.18;0.54;61.5
287.84;0.5;19.6
426.17;0.57;18.8
210.13;0.53;44.89
533.5;0.59;20.4
299.59;0.57;18.5
583.96;0.55;27.05
165.11;0.56;36.05
157.76;0.56;41.33
335.05;0.51;29.1
704.36;0.56;18.88
387.77;0.52;20.47
443.27;0.53;18.5
280.32;0.52;27.17
521.78;0.52;16.7
119.09;0.45;54.49
167.58;0.48;47.95
254.82;0.51;34.09
151.65;0.5;55.42
165.85;0.5;44.35
219.3;0.59;45.71
484.16;0.65;30.9
330.21;0.67;36.28
169.67;0.56;45.46
405.77;0.5;20.4
401.17;0.43;24
510.75;0.44;26.1
296.2;0.45;29.31
267.81;0.56;20.5
472.48;0.48;18.79
371.15;0.58;28.36
520.9;0.55;24.81
436.52;0.42;28
138.17;0.52;60.54
257.35;0.58;32.77
401.93;0.58;27.56
169.23;0.62;56.43
379.84;0.48;27.97
168.95;0.52;55.42
731.49;0.55;16.9
129.19;0.51;56.56
119.81;0.55;48.79
222.42;0.54;31.34
174.91;0.68;32.17
430.63;0.48;13.6
407.89;0.47;19.2
457.88;0.57;24.63
390.65;0.42;22.6
300.61;0.56;35.18
505.1;0.51;22.88
292.59;0.48;40.24
495.53;0.3;12.9
651.91;0.54;19.02
305.61;0.51;21.3
358.89;0.51;25.8
120.79;0.57;44.64
367.42;0.51;26.6
257.07;0.53;36.66
428.31;0.65;22.2
277.09;0.43;27.3
454.28;0.6;29.28
390.74;0.5;26.69
184.36;0.65;35.91
466.19;0.51;27.28
241.36;0.54;28.31
344.14;0.55;28.72
186.45;0.48;37.93
165.75;0.55;41.27
781.26;0.47;19.02
597.76;0.42;22.6
178.67;0.58;45.79
216.66;0.54;38.39
496.24;0.47;21.2
514.41;0.49;19.1
290.82;0.4;27.1
364.53;0.48;22.4
322.13;0.54;30.15
216.72;0.58;29.93
318.86;0.58;33.37
146.1;0.6;53.45
308.86;0.57;34
417.84;0.52;25.98
428.88;0.43;16.46
471.53;0.53;32.19
179.02;0.64;32.17
455.04;0.58;22.73
273.32;0.61;28.35
140.3;0.53;63.19
356.94;0.4;34.64
159;0.5;52.18
374.38;0.48;20.2
257.16;0.53;26.8
116.3;0.6;55.12
155.03;0.53;35.73
248.64;0.56;42.54
120.37;0.66;41.14
248.2;0.53;41.04
134.24;0.53;53.16
937.29;0.47;16.4
481.55;0.62;26.3
484.46;0.39;17.6
462.61;0.48;19.4
394.83;0.57;26.2
124.16;0.56;52.03
344.85;0.54;32.4
155.75;0.51;52.43
233.84;0.52;37.06
147.9;0.5;52.82
874.72;0.5;16.5
468.09;0.58;24.5
170.3;0.53;44.96
116.86;0.48;46.02
258.32;0.5;24.69
182.07;0.56;35.37
103.91;0.59;50.07
625.27;0.51;17.1
196.17;0.58;55.28
241.29;0.55;43.19
379.8;0.53;21.7
589.77;0.56;23.88
226.8;0.65;35.11
192.8;0.54;50.07
331.54;0.52;31.26
366.96;0.53;27.76
456.42;0.51;12.91
283.03;0.46;24
166.27;0.64;47.88
467.95;0.48;28.19
150.09;0.55;54.33
720.43;0.47;14.62
707.79;0.52;17.4
639.6;0.53;15
423;0.61;33.34
499.03;0.51;21
284.15;0.53;48.94
301.27;0.49;27.04
162.3;0.58;69.55
332.77;0.49;24
141.71;0.51;38.27
140.04;0.6;34.23
234.2;0.54;35.04
218.35;0.47;45.44
563.68;0.53;20.14
137.73;0.48;50.43
445.96;0.47;28.03
415.18;0.41;24
492.76;0.47;18.7
325.95;0.45;22
434.18;0.47;22.8
168.48;0.52;41.11
307.47;0.56;30.7
468.98;0.56;23.5
181.92;0.58;45.3
724.85;0.45;19.5
200.31;0.52;53.37
158.85;0.55;45.92
391.94;0.56;20.69
159.48;0.48;42.58
151.88;0.46;36.81
336.82;0.52;25.92
592.02;0.44;14.8
240.95;0.52;25.8
147;0.51;51.06
249.89;0.54;35.02
126.42;0.57;39.68
227.23;0.53;28.6
342.34;0.5;30.68
819.69;0.49;20.5
399.29;0.46;23.51
488.92;0.55;21.8
409.31;0.44;22.3
194.8;0.48;45.35
453.43;0.52;24.89
207.5;0.51;47.4
636.55;0.53;18.2
488.93;0.54;19.43
354.28;0.57;26.18
395.54;0.53;32.94
352.29;0.55;21.3
86.97;0.52;57.19
478.41;0.47;28.5
176.32;0.53;38.85
141.06;0.56;44.35
595.05;0.57;21
136.25;0.52;45.93
566.79;0.49;20.4
254.78;0.59;43.95
121.31;0.54;52.53
176.37;0.54;54.16
485.81;0.61;27.04
242.56;0.49;41.94
628.9;0.51;24.3
127.4;0.51;50.09
312.64;0.47;31.17
700.81;0.62;38.95
530.33;0.53;22.9
122.88;0.52;53.37
216.08;0.55;44.32
134.64;0.45;43.41
994.3;0.55;18.3
116.99;0.57;56.49
278.67;0.51;27.05
141.98;0.56;60.34
611.77;0.52;17.6
152.31;0.45;51.32
497.72;0.58;25.83
261.03;0.57;33.72
295.28;0.48;23.1
376.09;0.47;25
384.34;0.45;27.1
149.08;0.54;43.57
263;0.56;40.03
368.3;0.54;43.81
378.56;0.52;27.41
423.56;0.6;35.38
372.44;0.4;24.43
100.82;0.52;60.31
278.68;0.52;43.57
459.66;0.53;28
634.63;0.53;17.99
198.04;0.6;46.75
89.13;0.59;60.54
300.12;0.57;26.51
198.28;0.53;48.48
389.28;0.48;21.5
129.69;0.55;60.48
496.32;0.46;19.9
377;0.44;23.8
278.65;0.42;27.23
298.06;0.45;21.5
258.45;0.55;47.4
319.2;0.51;41.23
182.46;0.5;45.85
596.95;0.49;24
536.04;0.41;21.8
657.87;0.68;28
553.85;0.52;18.86
207.82;0.48;27.3
514.47;0.58;30.66
412.35;0.48;24.7
573.87;0.49;20.3
151.84;0.54;57.48
872.54;0.5;16.8
742.82;0.48;14.7
137.05;0.53;40.38
421.51;0.42;20.2
187.5;0.59;48.15
129.41;0.56;56.43
226.84;0.6;46.14
518.71;0.56;20.14
133.87;0.54;52.88
370.52;0.51;31.8
142.33;0.47;48.62
411.15;0.52;16.6
126.67;0.49;38.23
164.95;0.52;50.02
203.26;0.54;43.84
488.09;0.46;20.4
414.29;0.43;22.19
665.69;0.53;25.07
445.72;0.46;33.46
506.12;0.4;18.8
524.58;0.51;16.65
341.06;0.58;43.96
549.87;0.5;22.67
512.35;0.5;18.21
546.93;0.49;18.1
292.34;0.52;39.34
171.68;0.48;32.26
126.9;0.46;59.52
176.23;0.53;46.06
179.98;0.57;47.4
396.78;0.6;23.4
400.76;0.36;21.8
366.4;0.52;35.18
360.4;0.5;33.3
189.39;0.53;56.21
343.88;0.51;27.05
152.94;0.5;39.15
242.04;0.55;29.71
558.26;0.56;31.49
530.87;0.57;21.68
288.32;0.54;34.12
506.21;0.4;20.7
762.32;0.54;20.14
545.88;0.51;20.3
110.01;0.53;59.91
147.26;0.52;50.16
69.52;0.48;49.76
147.8;0.55;49.8
603.14;0.49;20.73
138.47;0.55;38.89
286.18;0.63;35.38
725.44;0.45;15.2
429.21;0.4;18.1
619.14;0.5;14.6
443.99;0.5;19.9
415.31;0.51;22.2
456.53;0.56;23.6
493.08;0.46;15.4
634.06;0.49;17.6
349.01;0.5;26.1
684.36;0.57;18.3
393;0.47;19
561.8;0.48;24.4
538.5;0.39;24.3
350.36;0.49;16.7
397.23;0.55;26.6
127.68;0.59;56.43
199.63;0.6;27.61
676.1;0.58;20.5
794.13;0.52;17.2
141.79;0.51;56.71
178.82;0.54;55.49
429.89;0.49;19.29
533.05;0.54;28.19
152.85;0.5;36.38
147.86;0.74;47.6
455.24;0.46;20.69
542.07;0.44;26.8
220.37;0.55;35.42
884.14;0.55;17.4
330.86;0.51;26.18
211.99;0.58;46.75
134.87;0.5;36.34
274.88;0.43;34.42
466.05;0.49;15.6
192.88;0.62;55.75
