NOME;RENDA;GINI;CMI
Abadia de Goiás (GO);385.66;0.44;25
Abadia dos Dourados (MG);370.42;0.47;20.51
Abadiânia (GO);330.07;0.52;29.7
Abaeté (MG);498.82;0.54;21.59
Abaetetuba (PA);206.84;0.53;27.9
Abaiara (CE);143.75;0.48;42.98
Abaíra (BA);204.01;0.52;32.89
Abaré (BA);166.97;0.55;47.63
Abatiá (PR);286.5;0.44;28.02
Abdon Batista (SC);301.64;0.48;28.2
Abelardo Luz (SC);490.21;0.57;22.4
Abel Figueiredo (PA);317.56;0.52;35.75
Abre Campo (MG);307.67;0.52;29.33
Abreu E Lima (PE);260.29;0.46;45.63
Abreulândia (TO);186.14;0.47;34.34
Acaiaca (MG);267.8;0.55;33.65
Açailândia (MA);294.27;0.62;38.58
Acajutiba (BA);155.56;0.56;58.09
Acará (PA);160.07;0.53;34.67
Acarape (CE);163.3;0.45;60.34
Acaraú (CE);161.22;0.6;50.54
Acari (RN);258.99;0.49;36.7
Acauã (PI);68.14;0.5;67.09
Aceguá (RS);440.76;0.53;16
Acopiara (CE);177.7;0.58;59.08
Acorizal (MT);251.09;0.52;26.3
Acrelândia (AC);268.77;0.6;25.65
Acreúna (GO);500.67;0.53;22.7
Açucena (MG);181.29;0.55;27.39
Açu (RN);279.08;0.55;40.24
Adamantina (SP);696.1;0.55;16.8
Adelândia (GO);299.33;0.53;32.5
Adolfo (SP);439.57;0.38;17.7
Adrianópolis (PR);228.71;0.56;27.3
Adustina (BA);171.39;0.5;61.33
Afogados da Ingazeira (PE);280.17;0.59;42.39
Afonso Bezerra (RN);188.57;0.53;48.17
Afonso Cláudio (ES);359.81;0.54;25.23
Afonso Cunha (MA);87.25;0.52;58.54
Afrânio (PE);140.58;0.53;52.58
Afuá (PA);147.25;0.49;35.37
Agrestina (PE);222.12;0.51;60.72
Agricolândia (PI);115.07;0.49;41.21
Agrolândia (SC);411.89;0.46;26.7
Agronômica (SC);511.95;0.47;20.7
Água Azul do Norte (PA);266.02;0.54;42.16
Água Boa (MG);242.11;0.55;38.02
Água Boa (MT);695.97;0.59;27.9
Água Branca (AL);138.86;0.56;41.94
Água Branca (PB);145.3;0.54;55.93
Água Branca (PI);201.45;0.5;39.85
Água Clara (MS);513.9;0.5;22.06
Água Comprida (MG);517.02;0.46;17.3
Água Doce do Maranhão (MA);96.12;0.56;63.41
Água Doce do Norte (ES);252.68;0.49;28.72
Água Doce (SC);581.61;0.58;22
Água Fria (BA);113.81;0.53;50.89
Água Fria de Goiás (GO);332.03;0.6;28
Aguaí (SP);610.66;0.49;17.8
Água Limpa (GO);426.11;0.48;25.8
Aguanil (MG);420.84;0.45;20.68
Água Nova (RN);123.58;0.53;53.71
Água Preta (PE);139.69;0.52;55.24
Água Santa (RS);442.3;0.56;13.2
Águas Belas (PE);131.78;0.58;85.29
Águas da Prata (SP);680.16;0.54;17.1
Águas de Chapecó (SC);522.53;0.54;23.6
Águas de Lindóia (SP);730.13;0.53;13.8
Águas de Santa Bárbara (SP);612.97;0.51;14.8
Águas de São Pedro (SP);1580.72;0.54;11.4
Águas Formosas (MG);226.06;0.64;36.29
Águas Frias (SC);494.34;0.51;25.3
Águas Lindas de Goiás (GO);335.23;0.45;24.66
Águas Mornas (SC);384.13;0.36;20.1
Águas Vermelhas (MG);201.55;0.6;38.14
Agudo (RS);550.66;0.53;16.7
